,Method,Epitope,Experiment,Baseline,Metric,Value
100,CloneModel,YLQ,first,kocher,F1-Score,1.0
101,CloneModel,YLQ,first,kocher,Accuracy,1.0
102,CloneModel,YLQ,first,kocher,Precision,1.0
103,CloneModel,YLQ,first,kocher,Recall,1.0
104,CloneModel,LTD,first,kocher2,F1-Score,1.0
105,CloneModel,LTD,first,kocher2,Accuracy,1.0
106,CloneModel,LTD,first,kocher2,Precision,1.0
107,CloneModel,LTD,first,kocher2,Recall,1.0
108,CloneModel,YLQ,first,kocher2,F1-Score,1.0
109,CloneModel,YLQ,first,kocher2,Accuracy,1.0
110,CloneModel,YLQ,first,kocher2,Precision,1.0
111,CloneModel,YLQ,first,kocher2,Recall,1.0
112,CloneModel,LTD,first,vdjdb,F1-Score,1.0
113,CloneModel,LTD,first,vdjdb,Accuracy,1.0
114,CloneModel,LTD,first,vdjdb,Precision,1.0
115,CloneModel,LTD,first,vdjdb,Recall,1.0
116,CloneModel,YLQ,first,vdjdb,F1-Score,1.0
117,CloneModel,YLQ,first,vdjdb,Accuracy,1.0
118,CloneModel,YLQ,first,vdjdb,Precision,1.0
119,CloneModel,YLQ,first,vdjdb,Recall,1.0
120,CloneModel,LTD,first,paper,F1-Score,1.0
121,CloneModel,LTD,first,paper,Accuracy,1.0
122,CloneModel,LTD,first,paper,Precision,1.0
123,CloneModel,LTD,first,paper,Recall,1.0
124,CloneModel,YLQ,first,paper,F1-Score,1.0
125,CloneModel,YLQ,first,paper,Accuracy,1.0
126,CloneModel,YLQ,first,paper,Precision,1.0
127,CloneModel,YLQ,first,paper,Recall,1.0
128,CloneModel,LTD,second,kocher,F1-Score,0.9514563106796117
129,CloneModel,LTD,second,kocher,Accuracy,0.9993644539070196
130,CloneModel,LTD,second,kocher,Precision,0.98
131,CloneModel,LTD,second,kocher,Recall,0.9245283018867925
132,CloneModel,YLQ,second,kocher,F1-Score,0.9253731343283582
133,CloneModel,YLQ,second,kocher,Accuracy,0.9996822269535098
134,CloneModel,YLQ,second,kocher,Precision,0.9253731343283582
135,CloneModel,YLQ,second,kocher,Recall,0.9253731343283582
136,CloneModel,LTD,second,kocher2,F1-Score,0.9607843137254902
137,CloneModel,LTD,second,kocher2,Accuracy,0.9833852544132918
138,CloneModel,LTD,second,kocher2,Precision,1.0
139,CloneModel,LTD,second,kocher2,Recall,0.9245283018867925
140,CloneModel,YLQ,second,kocher2,F1-Score,0.9612403100775194
141,CloneModel,YLQ,second,kocher2,Accuracy,0.9948078920041536
142,CloneModel,YLQ,second,kocher2,Precision,1.0
143,CloneModel,YLQ,second,kocher2,Recall,0.9253731343283582
144,CloneModel,LTD,second,vdjdb,F1-Score,0.9915966386554622
145,CloneModel,LTD,second,vdjdb,Accuracy,0.9993646759847522
146,CloneModel,LTD,second,vdjdb,Precision,1.0
147,CloneModel,LTD,second,vdjdb,Recall,0.9833333333333333
148,CloneModel,YLQ,second,vdjdb,F1-Score,0.8372093023255814
149,CloneModel,YLQ,second,vdjdb,Accuracy,0.9955527318932655
150,CloneModel,YLQ,second,vdjdb,Precision,1.0
151,CloneModel,YLQ,second,vdjdb,Recall,0.72
152,CloneModel,LTD,second,paper,F1-Score,0.9584352078239609
153,CloneModel,LTD,second,paper,Accuracy,0.9928179129700042
154,CloneModel,LTD,second,paper,Precision,1.0
155,CloneModel,LTD,second,paper,Recall,0.92018779342723
156,CloneModel,YLQ,second,paper,F1-Score,0.9117647058823529
157,CloneModel,YLQ,second,paper,Accuracy,0.9949302915082383
158,CloneModel,YLQ,second,paper,Precision,1.0
159,CloneModel,YLQ,second,paper,Recall,0.8378378378378378
160,CloneModel,LTD,third,kocher,F1-Score,0.8745519713261649
161,CloneModel,LTD,third,kocher,Accuracy,0.9968744418646187
162,CloneModel,LTD,third,kocher,Precision,1.0
163,CloneModel,LTD,third,kocher,Recall,0.7770700636942676
